ObjectType		Count	Size(Bytes) InclusiveSize(Bytes)
log4net.Layout.Pattern.ThreadPatternConverter	2	128	6512
log4net.Layout.Pattern.MessagePatternConverter	2	128	2496
log4net.Layout.Pattern.LoggerPatternConverter	2	128	3840
log4net.Layout.Pattern.LevelPatternConverter	2	128	5168
log4net.Layout.Pattern.ExceptionPatternConverter	2	128	832
log4net.Layout.Pattern.DatePatternConverter	2	224	8384
log4net.Filter.LevelRangeFilter	1	48	48
log4net.DateFormatter.AbsoluteTimeDateFormatter	2	48	48
log4net.Core.WrapperMap	1	40	504
log4net.Core.WrapperCreationHandler	1	64	64
log4net.Core.SecurityContextProvider	1	24	24
log4net.Core.LogImpl	1	64	20040
log4net.Core.LevelMap	1	24	1040
log4net.Core.Level	18	1360	1360
log4net.Core.DefaultRepositorySelector	1	56	600
log4net.Config.XmlConfigurator+ConfigureAndWatchHandler	1	48	1128
log4net.Appender.RollingFileAppender+LocalDateTime	1	24	24
log4net.Appender.RollingFileAppender	1	544	12088
log4net.Appender.FileAppender+LockingStream	1	48	48
log4net.Appender.FileAppender+ExclusiveLock	1	32	4384
log4net.Appender.ConsoleAppender	1	80	4824
log4net.Appender.AppenderCollection	1	72	72
ListDictionary+DictionaryNode	2	80	192
ListDictionary	2	80	272
List<WeakReference<EventSource>>	1	120	240
List<ThreadInt64PersistentCounter+ThreadLocalNodeFinalizationHelper>	4	256	352
List<String>	2	176	176
List<EventProvider+SessionInfo>	2	240	240
KeyValueInternalCollection	1	88	288
KeyValueConfigurationCollection	1	168	472
IOCompletionCallback	3	192	192
Interop+Advapi32+EtwEnableCallback	10	640	640
InternalConfigRoot	1	80	608
InternalConfigHost	1	24	24
InternalConfigEventHandler	1	64	64
Internal.Win32.SafeHandles.SafeRegistryHandle	2	64	64
Internal.Win32.RegistryKey	2	48	112
ImplicitMachineConfigHost	1	40	120
HybridDictionary	2	80	352
Hashtable+SyncHashtable	2	160	648
Hashtable	49	13520	22448
HashSet<ThreadInt64PersistentCounter+ThreadLocalNode>	1	256	256
HashSet<RuntimeType>	1	336	336
Guid	2	64	64
GenericEqualityComparer<UInt64>	1	24	24
GenericEqualityComparer<String>	1	24	24
GenericEqualityComparer<Int32>	1	24	24
GenericEqualityComparer<Guid>	1	24	24
GenericArraySortHelper<UInt64>	1	24	24
GenericArraySortHelper<String>	1	24	24
GenericArraySortHelper<Int32>	1	24	24
Func<Object, PropertyValue>	10	640	640
Func<Object, Boolean>	2	128	128
Func<Boolean>	3	192	192
FrameworkEventSource	1	304	832
FileVersion	2	96	96
FileSystemWatcher+NormalizedFilterCollection+ImmutableStringList	1	56	56
FileSystemWatcher+NormalizedFilterCollection	1	24	80
FileSystemWatcher+AsyncReadState	1	64	88
FileSystemWatcher+<>c	1	24	24
FileSystemWatcher	1	312	720
FileSystemEventHandler	3	192	192
FileSystemEnumerableFactory+<>c	1	24	24
FileSystemEnumerable+FindTransform<String>	1	64	64
FileStream	1	32	4352
FileInfo	1	152	152
FastResourceComparer	1	24	24
FactoryRecord	9	2352	2832
ExecutionEngineException	1	128	128
ExecutionContext	1	40	40
EventSource+OverrideEventProvider	10	1120	2240
EventProvider+SessionInfoCallback	1	64	64
EventProvider+<>c	1	24	24
EventPipeEventProvider	5	120	120
EventHandler	2	128	128
EventCommandEventArgs	5	440	840
EtwEventProvider	5	120	120
EnumerationOptions	3	120	120
EncoderReplacementFallback	3	72	72
EncoderNLS	2	96	96
EncoderExceptionFallback	1	24	24
EmptyEnumerator	1	24	24
Dictionary<String, TimeZoneInfo>	1	216	296
Dictionary<String, String>	5	400	400
Dictionary<String, ResourceSet>	1	216	216
Dictionary<String, ResourceLocator>	1	312	312
Dictionary<String, Object>	1	33464	33464
Dictionary<String, IntPtr>	1	248	248
Dictionary<String, CultureInfo>	1	280	392
Dictionary<String, CultureData>	1	480	968
Dictionary<Int64, WeakReference<AssemblyLoadContext>>	1	216	240
Dictionary<Int32, Task>	1	328	2216
DeserializationTracker	1	24	24
DEOS.ThreadListNode	4	160	160
DEOS.ThreadList	7	224	224
DEOS.Thread	2	208	504
DEOS.SynchObject	1	24	24
DEOS.StartOfPeriodEvent	3	144	240
DEOS.PriorityListOfThreads	1	88	216
DEOS.PeriodicClock	1	40	40
DEOS.NewTimer	1	32	32
DEOS.DEOSProcess	1	24	24
DEOS.DEOSIdleThread	1	32	32
DEOS.DEOS	1	24	24
DEOS.Clock	1	40	40
DEOS.Budget	1	24	24
DefaultValidator	2	48	48
DefaultBinder	1	24	24
DefaultAssemblyLoadContext	1	144	144
DecoderReplacementFallback	3	96	96
DecoderNLS	1	56	56
DecoderExceptionFallback	1	24	24
DBNull	1	24	24
DateTime+LeapSecondCache	1	32	32
DateTime	7	168	168
CultureInfo	5	656	3464
CultureData	5	3728	3728
CultureAwareComparer	2	64	64
ContextCallback	2	128	128
ConsolePal+WindowsConsoleStream	1	48	48
ConsoleEncoding	1	56	56
ConfigurationValues+EmptyCollection+EmptyCollectionEnumerator	1	24	24
ConfigurationValues+EmptyCollection	1	24	48
ConfigurationValues	2	144	1144
ConfigurationValue	1	40	512
ConfigurationSchemaErrors	5	200	200
ConfigurationPropertyCollection	2	48	168
ConfigurationProperty	2	208	248
ConfigurationElementProperty	1	24	48
ConditionalWeakTable<TaskScheduler, Object>	1	64	328
ConditionalWeakTable+Container<TaskScheduler, Object>	1	264	264
ConcurrentQueueSegment<Object>	1	768	768
ConcurrentQueueSegment<IThreadPoolWorkItem>	1	768	768
ConcurrentQueue<Object>	1	64	832
ConcurrentQueue<IThreadPoolWorkItem>	1	64	832
ConcurrentDictionary<Guid, List<Microsoft.Extensions.HotReload.UpdateDelta>>	1	48	824
ConcurrentDictionary+Tables<Guid, List<Microsoft.Extensions.HotReload.UpdateDelta>>	1	776	776
CompareInfo	2	112	112
CodePageDataItem	1	144	144
ClientConfigurationSystem	1	64	12184
ClientConfigurationHost	1	56	80
ClientConfigPaths	1	528	528
CalendarData	1	960	960
BufferedFileStreamStrategy	1	4184	4320
BinaryReader	1	544	600
BaseConfigurationRecord+ConfigRecordStreamInfo	5	320	816
AutoResetEvent	2	48	112
AsyncTaskMethodBuilder+AsyncStateMachineBox<VoidTaskResult, StartupHook+<ReceiveDeltas>d__4>	1	144	312
AsyncTaskMethodBuilder+AsyncStateMachineBox<VoidTaskResult, StartupHook+<>c__DisplayClass1_0+<<Initialize>b__0>d>	1	136	224
AsyncTaskMethodBuilder+AsyncStateMachineBox<Microsoft.Extensions.HotReload.PayloadType, Microsoft.Extensions.HotReload.PayloadTypeReaderWriter+<ReadNextPayloadTypeAsync>d__0>	1	144	848
AsyncMethodBuilderCore+ContinuationWrapper	3	120	120
AsyncLocal<Boolean>	1	24	24
AssemblyLoadEventHandler	1	64	1832
ArrayPoolEventSource	1	280	808
ArrayList	7	368	880
AppSettingsSection	1	128	1136
AppDomain	1	64	128
ActivityTracker	1	32	32
Action<String>	1	64	64
Action<Object>	5	320	320
Action<Action, Task>	1	64	64
Action	7	448	568
